i-graph-vertices,9365
i-graph-labels,1978
i-graph-edges,9840
i-graph-input-rules,6406
i-graph-output-rules,1992
i-lang-cost,151403.8170352015
i-lang-cost-given,Infinity
i-mdl,180724.40830341238
i-dist-nodes,6414
f-graph-vertices,56
f-graph-edges,91
f-graph-input-rules,56
f-graph-output-rules,23
f-lang-cost,573.4843146010696
f-lang-cost-given,293.36199409797365
f-mdl,866.8463086990432
f-dist-nodes,56
f-nodes-merged,6358
i-size-bytes,6753619
f-size-bytes,59716
